calendar_age, ci_lower, mean, ci_upper
1.0624728000e+04, 1.0937009977e-04, 2.1771795045e-04, 3.1625374040e-04
1.0634232000e+04, 1.0641683019e-04, 2.1414900470e-04, 3.1272831691e-04
1.0643736000e+04, 1.0362101981e-04, 2.1052570468e-04, 3.1010035804e-04
1.0653240000e+04, 9.9609083767e-05, 2.0685317930e-04, 3.0668275629e-04
1.0662744000e+04, 9.7317794449e-05, 2.0313767592e-04, 3.0508877643e-04
1.0672248000e+04, 9.4881700147e-05, 1.9938648750e-04, 3.0236325763e-04
1.0681752000e+04, 9.2552137257e-05, 1.9560786146e-04, 2.9814578417e-04
1.0691256000e+04, 9.0496417026e-05, 1.9181088365e-04, 2.9366095179e-04
1.0700760000e+04, 8.8405157878e-05, 1.8800533128e-04, 2.8772135799e-04
1.0710264000e+04, 8.5513422368e-05, 1.8420149741e-04, 2.8249231771e-04
1.0719768000e+04, 8.3414216708e-05, 1.8040999578e-04, 2.7674807837e-04
1.0729272000e+04, 8.1985346133e-05, 1.7664155374e-04, 2.7051912450e-04
1.0738776000e+04, 7.9967961781e-05, 1.7290678700e-04, 2.6562470178e-04
1.0748280000e+04, 7.7502826355e-05, 1.6921593707e-04, 2.6051227216e-04
1.0757784000e+04, 7.5656019801e-05, 1.6557856047e-04, 2.5451359984e-04
1.0767288000e+04, 7.4112352542e-05, 1.6200320701e-04, 2.4882649810e-04
1.0776792000e+04, 7.2415494166e-05, 1.5849719866e-04, 2.4354004215e-04
1.0786296000e+04, 7.0591596050e-05, 1.5506666464e-04, 2.3742124374e-04
1.0795800000e+04, 6.9577366218e-05, 1.5171693280e-04, 2.3248214350e-04
1.0805304000e+04, 6.8561360409e-05, 1.4845321039e-04, 2.2830636338e-04
1.0814808000e+04, 6.8153415503e-05, 1.4528129402e-04, 2.2452617228e-04
1.0824312000e+04, 6.7358581366e-05, 1.4220797647e-04, 2.2060127963e-04
1.0833816000e+04, 6.7279027819e-05, 1.3924094987e-04, 2.1570796927e-04
1.0843320000e+04, 6.6744598220e-05, 1.3638827550e-04, 2.1184429667e-04
1.0852824000e+04, 6.5808303242e-05, 1.3365771819e-04, 2.0825702738e-04
1.0862328000e+04, 6.5003384849e-05, 1.3105628112e-04, 2.0515813237e-04
1.0871832000e+04, 6.4394671062e-05, 1.2859012105e-04, 2.0186963378e-04
1.0881336000e+04, 6.3681337932e-05, 1.2626480773e-04, 1.9846721659e-04
1.0890840000e+04, 6.3376582284e-05, 1.2408575587e-04, 1.9599567373e-04
1.0900344000e+04, 6.2607173346e-05, 1.2205865774e-04, 1.9316757601e-04
1.0909848000e+04, 6.1976461317e-05, 1.2018983110e-04, 1.9105831362e-04
1.0919352000e+04, 6.1001888641e-05, 1.1848649260e-04, 1.8906003726e-04
1.0928856000e+04, 6.0274982380e-05, 1.1695701887e-04, 1.8755424374e-04
1.0938360000e+04, 5.9153785313e-05, 1.1561126279e-04, 1.8737169132e-04
1.0947864000e+04, 5.7854746734e-05, 1.1446097213e-04, 1.8906394176e-04
1.0957368000e+04, 5.7252565211e-05, 1.1352033459e-04, 1.8959545240e-04
1.0966872000e+04, 5.5890629915e-05, 1.1280665912e-04, 1.9136566197e-04
1.0976376000e+04, 5.5319659376e-05, 1.1234120004e-04, 1.9414087350e-04
1.0985880000e+04, 5.3874642169e-05, 1.1215013480e-04, 1.9810966855e-04
1.0995384000e+04, 5.3107809036e-05, 1.1226571507e-04, 2.0559228688e-04
1.1004888000e+04, 5.1830581874e-05, 1.1272762093e-04, 2.1461277966e-04
1.1014392000e+04, 5.0731756770e-05, 1.1358455750e-04, 2.2425443476e-04
1.1023896000e+04, 4.9549652306e-05, 1.1489614217e-04, 2.3473271267e-04
1.1033400000e+04, 4.8708450179e-05, 1.1673513649e-04, 2.4494005640e-04
1.1042904000e+04, 4.8595208769e-05, 1.1919007841e-04, 2.5709779788e-04
1.1052408000e+04, 4.7236893143e-05, 1.2236836462e-04, 2.6953952692e-04
1.1061912000e+04, 4.6614747844e-05, 1.2639981066e-04, 2.8239999741e-04
1.1071416000e+04, 4.6878252486e-05, 1.3144066832e-04, 2.9646173048e-04
1.1080920000e+04, 4.6998915274e-05, 1.3767798625e-04, 3.1208598173e-04
1.1090424000e+04, 4.7647886981e-05, 1.4533403537e-04, 3.2943972460e-04
1.1099928000e+04, 4.8742634064e-05, 1.5467025142e-04, 3.5059398562e-04
1.1109432000e+04, 5.2285282794e-05, 1.6598973420e-04, 3.7181110588e-04
1.1118936000e+04, 5.4722440766e-05, 1.7963675623e-04, 3.9348167806e-04
1.1128440000e+04, 5.7868404397e-05, 1.9599096278e-04, 4.1705666400e-04
1.1137944000e+04, 6.3069085508e-05, 2.1545302517e-04, 4.4256091754e-04
1.1147448000e+04, 7.1560608082e-05, 2.3841752940e-04, 4.7281364261e-04
1.1156952000e+04, 8.1973805990e-05, 2.6522803514e-04, 5.0573385647e-04
1.1166456000e+04, 9.6505066740e-05, 2.9610893464e-04, 5.4586698070e-04
1.1175960000e+04, 1.1567889953e-04, 3.3106989854e-04, 5.8806548989e-04
1.1185464000e+04, 1.4170507180e-04, 3.6978311364e-04, 6.3964030536e-04
1.1194968000e+04, 1.7361516833e-04, 4.1144375652e-04, 6.9654053367e-04
1.1204472000e+04, 2.1504988449e-04, 4.5464182149e-04, 7.6120112513e-04
1.1213976000e+04, 2.4716514383e-04, 4.9729540951e-04, 8.3518408145e-04
1.1223480000e+04, 2.7130568556e-04, 5.3671031208e-04, 9.2736983505e-04
1.1232984000e+04, 2.8625398259e-04, 5.6981997286e-04, 9.9840943658e-04
1.1242488000e+04, 2.9160557894e-04, 5.9361038410e-04, 1.0488117716e-03
1.1251992000e+04, 2.9858687787e-04, 6.0565461345e-04, 1.0675996006e-03
1.1261496000e+04, 2.9937112531e-04, 6.0460850509e-04, 1.0559435185e-03
1.1271000000e+04, 2.9506021691e-04, 5.9050124265e-04, 1.0339160212e-03
1.1280504000e+04, 2.8965090457e-04, 5.6471645456e-04, 9.6801839898e-04
1.1290008000e+04, 2.7668864223e-04, 5.2967619346e-04, 8.8480586934e-04
1.1299512000e+04, 2.5563352361e-04, 4.8834821153e-04, 8.0901463031e-04
1.1309016000e+04, 2.2461602639e-04, 4.4373974577e-04, 7.4478853817e-04
1.1318520000e+04, 1.7886282062e-04, 3.9850754992e-04, 6.7378246513e-04
